Name,Sample,Environment,Distance,M,mu,Stellar mass,R_e_circ,V_r,V_r_up,V_r_down,sigma,sigma_up,sigma_down,N_gc,N_gc_up,N_gc_down
Y358,1,1,100,-14.8,25.6,1.38,2.1,7969,2,2,19,3,3,28,5.3,5.3
VCC 1287,1,1,16.5,-15.6,25.71,2,3.3,1116,2,2,19,6,6,22,8,8
DGSAT I,1,3,78,-16.3,25.6,4,4.4,5439,8,8,56,10,10,-1,0,0
Dragonfly 44,1,3,100,-16.2,25.7,3,3.9,6234,0,0,33,3,3,76,18,18
DFX1,1,3,100,-15.8,25.5,3.4,2.8,8107,0,0,30,7,7,63,17,17
NGC 5846_UDG1,1,2,26.5,-15.0,25.2,1.1,2.14,2167,2,2,17,2,2,26,6,6
VLSB-B,1,1,16.5,-13.5,27.5,0.06,2.6,-1,0,0,47,53,29,26.1,9.9,9.9
VLSB-D,1,1,16.5,-16.2,27.6,0.79,9,1040.1,1.4,1.4,16,6,4,13,6.9,6.9
VCC 615,1,1,17.7,-14.7,25.8,0.21,2.3,2094.1,2.7,2.7,32,17,10,30.3,9.6,9.6
UDG1137+16,1,2,21,-14.65,26.55,1.4,3.3,1014,3,3,15,4,4,-1,0,0
PUDG_R15,1,1,75,-15.65,24.83,2.59,2.46,4762,2,2,10,4,4,-1,0,0
PUDG_R16,1,1,75,-15.9,25.4,5.75,3.51,4679,2,2,12,3,3,-1,0,0
PUDG_S74,1,1,75,-16.49,24.82,7.85,3.52,6215,2,2,22,2,2,-1,0,0
PUDG_R84,1,1,75,-15.4,24.68,2.2,1.97,4039,2,2,19,3,3,-1,0,0
NGC 1052-DF2,1,2,22.1,-15.3,24.8,2,2,1805,1.1,1.1,8.5,2.3,3.1,7.1,7.33,4.34
Sagittarius dSph,1,2,0.02,-15.5,25.13,1.32,2.6,140,2,2,11.4,0.7,0.7,8,0,0
Andromeda XIX,1,2,0.93,-10,31,0.0079,3.1,-109,1.6,1.6,7.8,1.7,1.5,-1,0,0
Antlia II, 1,2,0.132, -9.03, 31.9, 0.0088, 2.9, 290.7, 1.5, 1.5, 5.71, 1.08, 1.08, -1, 0,0
WLM,1,2,0.93,-14.25,26.16,0.41,2.34,-130,1,1,17.5,2,2,1,0,0
J125929.89+274303.0,1,1,100,-14.88,25.17,1.12,2.1,4928,4,4,21,7,7,-1,0,0
J130026.26+272735.2,1,1,100,-16.27,24.83, 1.56, 3.7, 6939,2,2,19,5,5,-1,0,0

NGC 1052-DF4,2,2,20,-15.0,24.6,1.5,1.5,1444.6,7.8,7.7,4.2,4.4,2.2,8.6,7.74,4.83
PUDG_R24,2,1,75,-16.64,24.35,3.91,3.24,7784,4,4,20,5,5,-1,0,0

